video_id,slant
_-7otAloFzY,-0.62252
_-d93ewGhmE,0.14286
_-fjiJ3XzxE,-0.4375
_-k8aNbdsmE,-0.95556
_-mZwIrxj94,-0.64286
_-NTG0jYqjw,0.86523
_-pUvfQxxKc,0.73333
_-qtVTsL-FQ,0.89329
_-tEkACDTMw,0.35065
_-xq3G5I9GU,-0.88
_68GjR6V6zI,0.26667
_CSPbzitPL8,-0.42857
--oyFZCnyqM,-0.875
--wgYof6TJ0,-0.95918
-0I4f8PasIU,-0.81982
-1-BScGuRzc,-0.24719
-1DTkAVeVy4,0.78871
-1RPl5Lk7bY,-0.86928
-2-9W0O9j1Y,0.81579
-22zD41FdFM,0.88889
-27RWAm9QVM,-0.69697
-2C-rRZgnIU,0.37143
-32jd-B7Hfk,0.2795
-3oQOg3y7TI,-0.64706
-3WbE3OOhdA,-0.7284
-4AyXq8DnAg,-0.05882
-4vkJp0Nw28,0.7
-6U0YA3Z2CE,-0.62
-74JQ2jRFD4,-0.46667
-7rITe1ADCU,-0.86207
-7SNlRUopSQ,-0.67059
-7WzQgzIp38,0.92593
-7yM0Av0au0,0.19003
-8bqQ-C1PSE,-0.4557
-8C8puhvFHY,0.71681
-8EvaXKIlME,0.34426
-8n34oSRAHA,-0.88571
-8Ya8W8GKJo,0.90256
-9cdRpE4KKc,0.06667
-9F9NDWshLs,-0.6386
-9NeZP2HuvE,0.9375
-a1gnBabYJ4,0.85629
-adQ5i1grtA,0.73856
-aPf3UIEOqI,0.78218
-avpx8UTakI,0.32888
-Bh08DteOuE,-0.76699
-bHq71-HUHs,-1.0
-BQN27xbojY,-0.54386
-c8LoR84Xjs,0.47368
-cgWILpNKoY,0.82749
-ck25J5BnNg,-0.87755
-cwP6o5W5ek,-0.25581
-CWQJlWl6UI,-0.89344
-d7PklcgC1U,-0.78947
-DtMu0qmIGs,-0.89583
-DYvrfP92mw,-0.54286
-E1smQKSr0Q,-0.90476
-e3T3VHmEkg,-0.71538
-E5nrTRHSck,-0.29915
-eng8xZOJW8,-0.92593
-ENrcvPICow,0.72727
-Es4X9GP-HQ,0.57895
-EUbjOtRGaY,-0.77223
-EV8XfM9CZo,-0.87826
-EvhorOSnbQ,0.5
-EwCT0SQ160,0.875
-FENubmZGj8,0.5848
-Ffp3-a4dE0,0.41176
-FKizYqvXXI,-0.64075
-fN2qA4R5ms,-0.90083
-FVEBb6w-0s,1.0
-FVX3dQj1cY,0.04348
-g2S2dK1-Fs,0.79387
-GB8nq6CW-8,-0.89882
-GcRFDNkqB0,0.63415
-ghzQsPt1yI,-0.77855
-gKa8ZIwE7g,0.58318
-GKJTNEcToc,1.0
-gvmo7WQhAI,0.90196
-gYVMfXuXeY,0.83696
-gZ8JSpcHD8,0.58763
-h4Eu-Ynysk,0.0
-H6aFWphNcA,-0.73554
-HEBZwVkFRM,-0.84416
-hEwE64-kUQ,-0.82123
-hJ3pOp846Q,0.83117
-hKTYvTpYLM,0.11443
-HKUueS2034,-0.82609
-HN3hyV96Cw,0.83036
-HzOqZeX3Yk,-0.15464
-I0KvSa0fZI,-0.82677
-i8vdM15K6c,-0.84397
-igOxvrgtko,-0.91667
-iMlzKh4qbE,-0.80488
-IOxu6dDJ14,0.07895
-IvKKkWtoZY,0.65217
-j-YDXSjpHw,-0.80328
-j1sbNTgGx0,-0.23944
-Ja1OdwbK7w,-0.07937
-jcTC6oOg7c,0.93491
-JFC81JEoIw,0.21333
-JV3UkcHAA0,-0.73134
-jzGPFIt2UY,0.189
-KBiHKx54sg,0.48167
-KCcpsWvFMY,-0.82824
-KidL6gIvic,0.90423
-KVwaqfdq2w,0.6
-L7XZfdI3To,-0.92409
-lcFca-uYZE,0.87342
-leC5KIRwtc,0.72139
-lixw5u7Ecg,0.57143
-LKVUarhtvE,-0.7619
-ls6Ts9TvmY,-0.6319
-lWKZDEdb2Q,0.20779
-M1utCPD5Iw,-0.95349
-mK0IrFPziM,0.82263
-mN1D1DIKyg,0.86667
-mniMnVkbIo,-0.65128
-Mz4tVDqi80,0.36667
-n207T6LGW4,-0.86973
-N7ZUj74E9o,0.46386
-nKf0TW-L1M,-0.43662
-NPtXlkCyvU,-0.53469
-nwcF4gGRVQ,0.31469
-ovCn-UOD74,-1.0
-PaDuZSx7do,0.77236
-PCvGjDpw44,0.3
-PJU2EYcmc0,-0.5
-pLajm7M5x4,-0.856
-PLHPmlRcmw,0.43609
-pnnlgxr1nU,-0.81395
-ppdT9OF4sA,0.0031
-pWuxxBIeAg,-0.75691
-QBR5pSsdFQ,-0.28856
-qDYi9HfQkI,-0.86081
-QG79AA6uUo,0.75785
-QhUdzwXGCA,0.92375
-qYc1YU7LnU,0.7
-QZQbC9JJVs,0.85979
-r1a0OnTnGw,0.86667
-r5D83UsMGs,-0.90476
-RdDmRlCbRE,-0.01333
-RX5XCZxmbg,-0.93333
-SCB1t28nDU,-0.40486
-SlSqfzYIqU,0.825
-SsdXrtiB-M,0.09804
-T3S4Ewjla4,0.84211
-TFQjYfrE0Q,-0.85644
-th1w4P4HyI,-0.76879
-tIbfKRX2jA,-0.89189
-tXRDkYtWwE,-0.81132
-tXxOmqIe3s,-0.37931
-U8VdAdo8Sw,-0.44086
-UkeoDTBXBA,-0.95455
-ukHf2eWA0o,0.59664
-UKrzGOkdvc,-0.76471
-Ul8gPFcCCM,-0.96825
-UlC8OSoDgk,-0.65957
-uPFMAE49NM,-0.6129
-upyPouRrB8,-0.36975
-uX0nruE-Uo,-0.04762
-vj4falKEw4,-0.34615
-VJeD3zbZZI,0.84966
-VJX2W3O9Ek,-0.16908
-VTruuuAu1s,0.91445
-vW0IxX80sA,-0.78974
-vyNiKArQrM,-0.17647
-w3aFC6XpzM,0.86711
-wCcQE0eLbM,-0.83744
-wP5XdZ9vl8,-0.2065
-WPcLI40r2k,0.31148
-wpsc1PIPUI,-0.90283
-wqOApBLPio,-0.79221
-WYzv7kPYNo,-0.31765
-x88HVir4qA,-0.55319
-x90tR8-g5o,-0.42524
-xbEPDSZIgk,0.78947
-xDapjigVAI,-0.1875
-xeCg0hCFiA,-0.60148
-xnpau6LXhU,-0.67213
-XqnE1PnWF4,-0.7531
-xrKeBFHIaY,-0.66038
-Y3VsSys5Yk,-0.68224
-Y42E-YNFWk,0.50095
-YbRNgBg9Og,0.68625
-ym42lV1ka8,0.55385
-ySIe6asZ7g,0.85589
-YWuD9RwJD4,0.85873
-ZDZtBRTyeI,-0.78386
-zeyA2sdDq0,0.69388
-ZhgQh3sWkU,-0.91189
-zOsP708ZQ8,-0.75
0-12-k7aOTU,0.58042
0-UmdEiqYIQ,0.50249
002-f7023NI,0.77193
00aN1Zcb4r4,-0.61468
01T6cNV0bGM,-0.76744
01zClkV1n24,-0.45215
02E1x06x3fg,-0.35862
02VsfhVUBD4,0.92453
02w9Phui-l8,0.66667
0396WBiz4NE,0.82857
03hZsxbWQJc,-0.75587
03NkGLVbQLA,-0.53333
04LehhDwfs8,-0.4386
04nqez0IvvY,0.92405
04r3pOt5bRw,-0.87611
04TT7YIG9iE,-0.15957
05CPy5rwp3c,0.8125
05pwqZ40pzE,-0.75953
05Si4glIY58,0.56286
063DIhEpfIk,0.79941
06TYxm1tR9E,-0.76238
071YQ5u6Gcg,0.66795
0739Q23FmGw,-0.18227
073hfPueac0,-0.83727
07yZF2lM1y0,-0.44262
08b6WMIi01M,0.19048
08P-PSPdflI,-0.87248
090BCs8Qrj4,0.85446
09B0dJnJc6U,0.81567
09I6ABBbOnQ,0.30736
0a5WUIxemns,-1.0
0aiZzx7UNHs,0.68421
0akEThtU8gk,-0.89333
0AupCYxS4T4,0.36634
0av1Gy20V-Q,-0.58491
0AVCWpM8x9s,-0.9038
0AWTYGZnkvk,-0.62857
0B4nS1-ScYw,-0.68586
0bkYHT-KhE0,0.82353
0bojHOB5SY4,-0.85714
0bp8fk5rosI,-0.29825
0c3Wn3zXZAk,0.84255
0CA-vtlGHD8,-0.65333
0ccyEECQ2C0,-0.06667
0cdSPGRvZHk,-0.86207
0CK7f8A4tPU,-0.82119
0cODBQqaGTw,0.11111
0cUQqPxw3hc,0.75514
0CWgqd7GhQk,0.5102
0DbP85UHOdg,-0.95745
0DEJkmetpJ4,0.81768
0DhWJUBTonM,-0.49296
0djg33wjyN4,0.57895
0dpds2TgAOU,0.84615
0Eh9T4BRMc4,-0.29412
0ejg2lbSrDg,0.89744
0eXHKzSxIyc,0.87984
0F-hoDs9ucM,0.84783
0F74v6BQwzI,-1.0
0fBDFfrUjJ4,0.64179
0Fbf9iPaUaQ,0.84746
0fbYKnD5B9w,-0.6
0FNBIDdoJ7c,-0.875
0foJk8tQA-U,-0.36735
0ftS9plCwOA,0.60825
0g9L4sOPHFE,-0.73878
0GfjtijAIjM,-0.3
0gLmMPOHDwM,-0.58974
0GOl4TnLixQ,-0.85185
0Gv2dPtYhz0,-0.24138
0H4OuSJVHdQ,0.51852
0h6VobYuio4,0.57962
0HCR1QR4zMU,0.80328
0hHu14pCmmo,0.08046
0hhzqNLvQxg,0.47368
0hKlBaijviU,-1.0
0hLjuVyIIrs,0.14222
0HveFM0Npz0,-0.66008
0hyGUXabDvE,-0.66065
0HzB2tAUd64,-0.84164
0I-hVrtYES0,0.69697
0Ia-shuHvsE,0.74648
0iEnYYfxtRw,-0.46914
0ieXemy527g,-0.53043
0igWUCdwlyU,-0.38983
0iiloIcQuqw,0.69231
0iW8N8ly5oQ,0.85185
0IyAEgGxxVA,-0.375
0Japc8M8RQw,0.87962
0jAWPcyPFQc,-0.01435
0Jd-iaYLO1A,-0.8355
0jjgL7nx1jw,-0.5
0JMkzakXgIY,-0.50207
0jt-urgNN3A,-0.4202
0jTkl2DdTd8,-0.88
0jxMljF2QPQ,0.80105
0k-2JM3Kpo0,0.55102
0K6AZk3DP5c,-0.93103
0KHq4stNXTQ,0.69231
0ktYo-cmjIw,-0.84232
0kVA5CtHVBU,0.80532
0l4pj4agv58,-0.28
0LakFHdDF5w,-0.75
0LiZfp77rCA,-0.42222
0lrpTuXBuTM,-0.84615
0LT-Iz03X6g,-0.81046
0lympwmeQOs,-0.82
0m3B5JxukpI,-0.52672
0mezvCg0A5c,0.00709
0mU5yUOMQMU,-1.0
0mvjp0ZqK7Q,0.61875
0Mw62zXdJA8,-0.9257
0NAvTEQ9eXQ,0.23711
0NfPWg1vIss,0.96364
0NjSmTI0ymo,-0.76744
0ntWcpw0esE,-0.6
0nwRpMqHSWg,0.47826
0obTxbTIZ0I,-0.90374
0OCdCeuUBIA,0.81818
0oG1l0Zrn48,0.71728
0OGkUzUu48M,-0.93939
0oKKvTagco0,1.0
0ORE5CFVwoY,-0.84181
0OsBHzBs8Y8,0.68212
0P5T0uo1sGg,-0.42857
0PAKJNQmV5o,-0.89549
0pe241gW0dQ,-0.74282
0pjsx94m8qA,-0.5443
0pn2bwa2zZc,0.79856
0pT0l7ewptI,0.14286
0pVKjCOHRqk,-0.05882
0pXzNcCYwGY,-1.0
0Q4Fa0DPj2c,-0.64
0Q6scIkcM5M,-0.41573
0QRuENqt3KE,0.06667
0R1RkIcY4Rg,0.78495
0r2xzzHfw94,-0.83432
0rohoDfxtL4,0.93939
0RY0k2uD6lw,0.74721
0Rzn6GZxsF0,-0.93166
0RzwmrfG1so,-0.08333
0s4HTZUI2QU,0.06122
0s8ujcC0Jb4,0.7931
0SAjwF3F-4k,0.86667
0squnOeXqLU,0.79178
0TCcJLbJaj8,-0.34146
0Te5al2APrQ,0.69412
0tEAd37uuIo,0.91667
0THi2YuVrb4,0.24832
0TImic4N1ko,-0.376
0tkyqjvMrnU,-0.46903
0to7bSzsmXw,0.91053
0tZ8vbnF4jM,0.78339
0u47dmqiblI,0.43448
0Uab876YKBQ,0.01299
0uD-aXzHOM4,0.78277
0UEbEvObgKo,-0.32425
0uPdkhMVdMQ,0.87879
0uPiJowtUl4,-0.32184
0UrGPEfavFQ,0.25926
0uY7gLZDmn4,-0.78707
0uYQEDeMQac,0.77778
0uZKBlwLEFs,-0.14706
0V1LcpsNDfg,-0.70504
0V6ewzenbk4,-0.86275
0VaUpibjq4I,-0.51592
0vgO93G8NPM,-0.81287
0vIqYJcLC4I,-0.76898
0VzMKLFEOR0,-0.8567
0w3u853wqX0,-0.56471
0w5fOOVnn8g,-0.40952
0WexDWEsxFI,-0.88571
0WJ-X2e67jI,0.40984
0Wnv06CJC4s,0.77153
0wVUFt8DrEA,-0.77259
0wYHRWo2Ins,-0.79424
0XcqwIEK0EA,-0.6875
0xEasnwEwpA,0.92
0XoTySFXt94,-0.86408
0YlxQHVQ3gk,0.2
0ynfY1ZVQzA,0.91489
0yqC4BYZWnM,-0.1016
0ySL82WbcvU,-0.58416
0yT7hpF654k,-0.71892
0yzhFla2CpE,-1.0
0Z1wQk6Igyk,-0.88043
0z2iQWVI8Os,0.75041
0Z684x4HN9E,0.0
0zFQfySyBmY,0.16535
0zHSW2k-vF0,-0.76435
0ZRpUhJqzdA,0.8259
0ZrzqZhJKAs,-0.89731
1-ec5MVNkdE,0.76471
1-PvAFolgaI,0.69531
1-TEm8WS0eg,0.44633
1-U36Dtm6M4,0.30435
1-vJrzLE1xY,0.77215
1-x1LsII3-o,0.57576
1-XUgF4Ira8,-0.29091
109agvZr1vs,0.3662
10ABoVtL-tg,0.38525
10HlZOt2zUk,-0.94891
10JRSvqUe0U,0.20548
10r189r3Few,-0.58621
1143Iyg3St0,-0.94286
115Zw69kuI0,-0.81723
11txhpgsIEs,0.65517
11wJ8r6b3iA,0.87841
12kzYN8PAWU,0.81366
13a7i8nqubA,-0.87143
13ja8dMEmPY,0.43478
13lyWAY8iBc,-0.4359
13PAaqNcG-0,-0.81356
14du90lZZlU,0.57037
14JEZCjBj4s,1.0
14r7f9khK70,-0.34815
14TvTKhvCtE,0.73978
14VcNDdWlRA,-0.73333
15-e3rPJsLk,-0.87879
158agejM4Pw,0.75342
15Mq5zLfyyo,-0.43448
15n4WTXLO1c,-0.69231
15OZC6Y9fbw,-0.93772
16tA6qGyeDk,0.75
17vTRmo13Ow,0.74762
18Iss9dyJ4g,-0.88136
18pYKo60x-M,-0.75
19g95qtDc0Y,-0.0137
1AfNYztas2c,-0.22973
1ag0aOd5dzc,-0.25
1Ai5KStAuEc,0.82394
1ak55Aay4i0,0.89446
1anbJSYPy6w,0.88235
1atkQNdf8wE,0.83784
1b-MeK5-NaQ,-0.50853
1bAMjxom46c,1.0
1BIw3rwDAXw,0.90769
1bLv-YlVqjA,-0.08661
1BPCg1WtviM,-0.89474
1bQH2bnuZGg,-0.85859
1Bwa5ffuTSs,0.76967
1CBULIcf9MU,-0.36364
1CBwI3heojM,-0.20313
1CKTtAlktWY,-0.55331
1cNaR5-7n9I,0.5942
1Cylk43dcVs,-0.78392
1d3QLPdHysc,-0.71429
1DIAlu40EFo,0.85632
1dkLJcQrvLY,0.66355
1DkyDbZdcIc,-0.69565
1DqdDfiHFQE,-0.29747
1dyOxBvBA58,-0.54407
1eD9RDTl6tM,0.59459
1EEp3v7EGnE,-0.88623
1enhWlayMdo,-0.15714
1ET3RnZVAMI,-0.63793
1evyptWWgDE,0.45684
1EzwQkOhl2E,-0.5122
1F2wGRF-eiI,0.75477
1f5NoEgfQuQ,0.9115
1fgDu57N-Qw,0.31401
1FIauuTAgD8,-0.86087
1fIncU5SIio,-0.82553
1FLB5vSfGu8,0.70751
1FrboBQvi74,-0.81343
1fSHmL02yuU,0.07143
1fsj5ynwOl0,0.80682
1gBmlQXXrfQ,-0.70563
1Gbu5eEmkQA,0.12211
1GFVRqpb97c,0.92593
1GNu7ldL1LM,0.82659
1gO0Vb1tuRw,-0.04819
1GrMCTHIbQ8,0.66667
1GRoc2Iomko,0.68571
1h5iv6sECGU,0.82796
1hASsUulqS4,-0.75
1hKXEEUElO8,-0.3125
1huCqtFv3GA,0.6
1HUfqkU6BIo,0.88571
1HZ3Tjohwqo,-0.15511
1iC63BUODv8,0.6898
1IDpQPW-l44,0.05648
1iDRu2q2cRw,-0.85787
1ihCogdKxyQ,-0.84
1iIBF9pBoxA,0.80591
1IIsK5zPQYw,-0.69501
1IPWYSMmrqY,-0.92453
1IxHjeXdBXM,-0.85714
1J1zAnA2Wds,0.39394
1JbhOCNE3BM,-0.12
1JcAE8mRBMA,0.78
1jCHVsOT8nQ,0.73669
1jEJLHCBueY,0.92661
